MatOldNew	PairNum	Deck1Feedback	Deck2Feedback	Pay1Back	Pay1BackTrial	Mat1Back	DelayDecks	SwitchDecks	Switch1Back	Sub	Trial	Pay	RT	Resp	ChosenSide	choice	Stay
1	1	0.4	0.4	0.4	-0	0	0	0	1	1	232	0.4	718.804858624935	k	2	0	1
0	2	0.4	0.2	-0	0.8	1	2	1	0	1	233	0.4	495.730996131897	j	1	0	1
1	1	0.2	0.6	0.4	0.4	1	1	1	0	1	234	0.2	599.708404392004	k	2	0	1
0	2	0.2	0.2	0.4	0.4	1	1	1	1	1	235	0.2	408.20225328207	j	1	0	1
1	1	0.4	0.8	0.2	0.4	1	1	1	1	1	236	0.8	555.746465921402	j	1	1	0
0	1	0.4	1	0.8	0.2	1	0	0	1	1	237	1	380.894497036934	k	2	1	1
1	2	1	0.4	0.2	0.2	1	2	1	1	1	238	0.4	775.757504627109	j	1	1	0
1	2	0.6	0.2	0.4	1	0	0	0	1	1	239	0.2	534.163786098361	k	2	1	1
1	1	0.2	0.4	1	0.8	0	2	1	0	1	240	0.4	479.53405790031	j	1	1	1
1	1	0.2	0.4	0.4	0.2	1	0	0	1	1	241	0.4	537.745334208012	j	1	1	1
1	1	1	0.8	0.4	0.4	1	0	0	0	1	242	0.8	459.707703441381	j	1	1	1
1	2	0.6	0.2	0.2	0.4	1	3	1	0	1	243	0.2	557.109948247671	j	1	1	1
0	2	0.8	0.4	0.2	0.8	1	0	0	1	1	244	0.4	527.546102181077	j	1	1	1
0	1	1	0.4	0.8	0.4	1	2	1	0	1	245	0.4	470.844395458698	j	1	1	1
1	1	0.6	0.6	0.4	0.4	0	0	0	1	1	246	0.6	531.158730387688	k	2	1	1
1	1	0.6	0.6	0.6	0.4	1	0	0	0	1	247	0.6	481.048736721277	k	2	1	1
0	2	1	0.2	0.4	0.2	1	3	1	0	1	248	0.2	723.473243415356	k	2	1	1
1	1	0.4	0.6	0.6	0.6	1	1	1	0	1	249	0.6	549.882523715496	j	1	1	1
0	1	0.6	1	0.6	0.2	1	0	0	1	1	250	1	502.76467949152	k	2	1	1
0	2	0.4	0.4	0.2	0.6	0	2	1	1	1	251	0.4	496.435476467013	k	2	1	1
1	1	0.6	0.6	1	0.6	0	1	1	0	1	252	0.6	730.549283325672	j	1	1	1
0	1	0.8	1	0.6	0.4	1	0	0	1	1	253	1	683.299995958805	j	1	1	1
1	1	0.4	0.2	1	0.6	0	0	0	0	1	254	0.2	553.372673690319	k	2	1	1
0	1	0.4	0.8	0.2	1	1	0	0	0	1	255	0.4	436.348667368293	j	1	0	0
1	2	0.4	0.8	0.4	1	1	4	1	1	1	256	0.8	580.627532675862	k	2	1	1
1	1	0.2	0.8	0.4	0.2	0	1	1	0	1	257	0.2	526.914443820715	j	1	0	1
0	1	0	0.2	0.2	0.8	1	0	0	1	1	258	0.2	513.405686244369	j	1	1	0
1	2	0.6	-0	0.8	0.4	0	2	1	1	1	259	-0	582.209648564458	k	2	1	1
0	1	0	0.2	0.2	0.2	0	1	1	0	1	260	0	594.882417470217	k	2	0	0
1	2	0.2	0.6	-0	0.2	1	1	1	1	1	261	0.2	515.880322083831	j	1	0	0
1	1	0.2	-0	0	-0	0	1	1	1	1	262	0.2	462.502207607031	j	1	0	1
