MatOldNew	PairNum	Deck1Feedback	Deck2Feedback	Pay1Back	Pay1BackTrial	Mat1Back	DelayDecks	SwitchDecks	Switch1Back	Sub	Trial	RT	Resp	ChosenSide	choice	Stay
1	2	0	0.4	0.6	0.6	0	1	1	1	7	208	623.50321401027	j	1	0	0
1	2	0.2	1	0	0.6	1	0	0	1	7	209	460.519443993689	k	2	1	0
0	1	0.8	0	0.6	0.6	1	2	1	1	7	210	631.091340008425	k	2	1	1
1	1	1	0.4	0	1	0	0	0	1	7	211	476.091630989686	k	2	0	0
0	2	0.8	0.2	1	0	1	2	1	0	7	212	652.108711976325	k	2	1	NaN
1	2	0.2	0.6	0.2	1	1	0	0	1	7	213	NaN	NaN	NaN	NaN	0
0	2	0.2	0.4	NaN	0.2	0	0	0	0	7	214	499.013699009083	j	1	1	0
0	2	-0	0	0.4	NaN	1	0	0	0	7	215	527.764730999479	j	1	1	1
1	1	0.4	0.4	1	0	1	4	1	0	7	216	887.77517300332	k	2	0	1
0	2	0.2	0.4	0	0.4	1	1	1	0	7	217	444.630663987482	k	2	0	0
1	2	0.4	0.4	0.2	0.4	1	0	0	1	7	218	578.382731997408	j	1	0	1
1	1	0.4	0.4	0.4	0	1	2	1	1	7	219	613.383813994005	j	1	0	1
0	2	0.6	0.2	0.4	0.2	0	1	1	0	7	220	530.052118992899	k	2	0	1
0	1	0.6	0.4	0.4	0.4	1	1	1	1	7	221	481.771606981056	j	1	0	1
0	2	0.2	0.6	0.6	0.4	1	1	1	1	7	222	685.647101985523	k	2	0	1
1	2	0	0.4	0.2	0.6	1	0	0	1	7	223	500.441568990937	k	2	0	1
0	2	0.2	0.2	0	0.2	0	0	0	0	7	224	381.435984978452	k	2	0	1
1	1	0.4	0	0.6	0.6	0	3	1	1	7	225	622.956341016106	k	2	0	1
0	2	0.4	0.8	0.2	0	0	1	1	0	7	226	849.606301024323	k	2	1	0
1	1	0.6	0.6	0.4	0.2	1	1	1	1	7	227	927.687318006065	k	2	0	1
1	2	0.2	0.4	0.8	0.4	0	1	1	1	7	228	554.914298001677	j	1	1	1
0	1	0.4	0.4	0.6	0.8	1	1	1	1	7	229	431.623734999448	k	2	0	1
1	2	0.4	0.6	0.4	0.6	1	1	1	1	7	230	380.581634002738	k	2	0	0
0	1	0	0.8	0.4	0.4	0	1	1	1	7	231	619.72077700193	k	2	0	1
1	2	0.2	0.6	0.4	0.4	0	1	1	1	7	232	657.15272698435	j	1	0	1
0	1	0	0.4	0	0.4	0	1	1	1	7	233	765.908234985545	j	1	0	1
1	1	0.4	0.6	0	0.2	0	0	0	1	7	234	482.022809999762	j	1	1	0
0	1	0.2	0.4	0.6	0	1	0	0	0	7	235	653.439633984817	j	1	1	1
0	1	-0	0.4	0.4	0.6	0	0	0	0	7	236	789.429981989088	j	1	1	1
0	2	0.8	0	0.2	0	0	4	1	1	7	237	394.051059003687	k	2	0	1
1	1	0.8	0.6	0.4	0.4	0	1	1	0	7	238	613.549001980573	k	2	0	0
0	2	0	0.2	0.8	0.4	1	1	1	1	7	239	611.197021004045	k	2	0	1
1	2	0.4	0.2	0	0.8	0	0	0	1	7	240	551.222723996034	j	1	1	0
1	2	0.6	0.4	0.2	0	1	0	0	0	7	241	781.804161990294	k	2	1	1
0	1	0.2	0.6	0.8	0.8	1	3	1	1	7	242	369.936323986622	j	1	1	0
1	2	0.2	0.4	0.4	0.2	1	1	1	0	7	243	509.633754991228	k	2	1	1
0	2	0.4	-0	0.4	0.6	1	0	0	1	7	244	605.296058987733	k	2	0	0
1	1	0.2	0.4	0.6	0.4	0	2	1	1	7	245	561.832668987336	k	2	1	1
1	1	0.2	1	0.4	0.4	1	0	0	1	7	246	590.168828988681	j	1	1	1
1	1	1	0.6	1	0.4	1	0	0	0	7	247	795.32347098575	j	1	0	0
0	1	0.4	0.2	1	1	1	0	0	0	7	248	398.905334994197	j	1	0	1
1	2	0.6	0	0.4	0.4	0	4	1	0	7	249	627.260432986077	k	2	0	1
0	2	0.4	0	0.6	0.4	0	0	0	1	7	250	475.848467991455	k	2	0	1
0	1	1	0.8	0.4	1	0	2	1	0	7	251	903.92752099433	j	1	1	0
1	2	0.4	0.4	0.4	0.6	1	1	1	0	7	252	670.155947009334	k	2	0	1
1	1	0.6	0.8	0.8	0.4	0	1	1	1	7	253	607.734714983962	j	1	1	1
1	2	1	0.4	0.4	0.8	1	1	1	1	7	254	727.409803017508	j	1	0	1
1	2	0.8	0.6	1	0.8	0	0	0	1	7	255	682.788890990196	j	1	0	1
0	2	1	0.6	0.8	1	0	0	0	0	7	256	664.994833001401	k	2	0	1
0	2	1	0.6	1	0.8	0	0	0	0	7	257	620.535122987349	k	2	0	1
1	1	0.6	0.8	0.8	0.4	1	4	1	1	7	258	716.784424002981	j	1	1	1
0	1	0.8	1	0.8	1	1	0	0	1	7	259	766.427980008302	j	1	1	1
1	2	0.2	0.8	1	1	1	2	1	0	7	260	570.710895990487	k	2	0	1
0	1	0.4	0.4	1	0.8	0	1	1	0	7	261	818.210005993024	j	1	0	0
1	2	0.6	1	0.2	1	0	1	1	1	7	262	544.086662004702	j	1	1	0
0	1	0	0.2	0.4	0.2	0	1	1	1	7	263	652.710210008081	k	2	1	0
1	1	0.2	0.8	0.2	1	0	0	0	1	7	264	544.653152988758	j	1	0	0
0	1	0.2	0.8	0.2	0.2	1	0	0	0	7	265	468.590952979866	k	2	1	0
0	2	0.2	0.8	1	0.4	1	3	1	1	7	266	458.750600984786	j	1	0	0
1	1	0	-0	0.8	0.2	0	1	1	0	7	267	895.508984016487	k	2	1	1
0	1	0.6	-0	-0	0.2	1	0	0	1	7	268	597.852569015231	k	2	0	0
1	1	-0	0.2	0.6	-0	0	0	0	0	7	269	801.682074001292	k	2	0	1
1	2	0	0.6	0.2	0.8	0	3	1	1	7	270	613.932320993626	j	1	1	0
1	2	0.2	0.2	0.6	-0	1	0	0	1	7	271	650.265056989156	k	2	1	1
0	1	0	0	-0	0.6	1	2	1	0	7	272	646.499337017303	k	2	0	1
0	1	0.4	0	0	0.2	0	0	0	1	7	273	450.935496977763	j	1	1	0
1	1	0.4	-0	0	0	0	0	0	0	7	274	545.057976007229	j	1	1	1
0	1	0.8	0.6	-0	0	1	0	0	0	7	275	647.334559995215	j	1	1	1
0	1	0.8	0.4	0.6	-0	0	0	0	0	7	276	521.605787012959	j	1	0	0
1	2	0	0.8	0.2	0.6	0	5	1	0	7	277	838.958123989869	k	2	0	0
1	2	0.2	0.6	0	0.8	0	0	0	1	7	278	670.828743983293	j	1	1	0
0	1	0.6	0	0.8	0.6	0	2	1	0	7	279	912.092213984579	k	2	1	0
